account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,sub_plan_tier,mrr_amount,arr_amount,billing_frequency,sub_is_trial,upgrade_flag,downgrade_flag,sub_churn_flag,auto_renew_flag,ticket_count,avg_resolution_hrs,avg_first_response_mins,avg_satisfaction,escalation_count,urgent_ticket_count,total_usage_events,total_usage_count,avg_duration_secs,total_errors,beta_feature_uses,unique_features,churn_reason,refund_usd,is_reactivation,tenure_days,churn_label
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,Pro,1421,17052,annual,False,False,False,False,True,6.0,41.666666666666664,79.16666666666667,3.5,0.0,2.0,46,494,2903.4565217391305,19,6,29,,,,983,retained
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,Enterprise,3582,42984,monthly,False,False,False,False,True,5.0,36.0,59.0,3.6,0.0,1.0,43,427,3191.720930232558,18,9,28,,,,1150,churned
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,Enterprise,4378,52536,annual,False,True,False,False,False,3.0,26.0,108.66666666666667,4.0,1.0,0.0,49,511,3218.591836734694,25,6,31,unknown,0.0,False,895,retained
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,Basic,0,0,annual,True,False,True,True,True,4.0,14.25,97.75,4.666666666666667,1.0,1.0,66,653,2906.8030303030305,44,15,34,unknown,0.0,True,748,retained
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,Basic,152,1824,monthly,False,False,False,False,True,9.0,31.333333333333332,81.88888888888889,4.0,1.0,1.0,35,337,2810.942857142857,20,5,24,,,,643,retained
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,Enterprise,3383,40596,annual,False,False,False,False,True,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,1.0,69,687,3020.1014492753625,37,8,32,budget,35.48,True,620,churned
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,Basic,1634,19608,annual,False,False,False,False,True,3.0,57.666666666666664,108.33333333333333,4.0,0.0,0.0,42,402,3034.1190476190477,22,10,28,features,0.0,False,712,churned
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,Pro,0,0,annual,True,False,False,False,True,0.0,,,,0.0,0.0,32,324,3066.03125,20,2,23,features,136.94,False,575,retained
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,Enterprise,5174,62088,annual,False,False,False,False,True,5.0,34.0,59.6,4.5,0.0,3.0,47,488,3206.553191489362,19,2,27,budget,0.0,False,1152,churned
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,Pro,931,11172,annual,False,False,True,False,True,2.0,33.0,120.5,,0.0,2.0,58,602,2954.5862068965516,31,7,30,,,,960,retained
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,Enterprise,9751,117012,monthly,False,False,False,False,True,4.0,49.75,119.0,5.0,0.0,0.0,72,791,3292.4305555555557,37,7,29,,,,1100,churned
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,Basic,494,5928,monthly,False,False,False,False,True,4.0,34.0,126.5,4.0,0.0,2.0,53,538,3504.3207547169814,44,6,27,unknown,0.0,False,917,retained
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,Enterprise,3980,47760,monthly,False,True,False,False,True,2.0,61.5,27.0,3.5,0.0,0.0,33,329,3188.3030303030305,12,5,22,features,0.0,False,948,retained
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,Pro,1666,19992,monthly,False,False,False,False,False,5.0,24.8,102.8,4.0,1.0,1.0,55,540,3189.581818181818,23,5,29,features,0.0,False,577,retained
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,Enterprise,3184,38208,monthly,False,False,False,False,True,5.0,45.4,91.8,3.6666666666666665,0.0,0.0,39,424,3204.5641025641025,30,2,21,,,,1014,retained
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,Enterprise,2786,33432,monthly,False,False,False,False,True,3.0,43.0,84.0,3.0,0.0,0.0,63,651,2967.126984126984,32,7,34,competitor,228.75,False,674,churned
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,Basic,285,3420,monthly,False,False,False,False,True,6.0,23.666666666666668,90.16666666666667,4.0,0.0,1.0,64,693,3127.765625,27,5,32,features,0.0,False,1103,retained
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,Pro,1813,21756,monthly,False,False,False,False,True,1.0,27.0,49.0,4.0,0.0,0.0,37,385,3396.6216216216217,11,6,29,unknown,0.0,True,1158,retained
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,Enterprise,0,0,annual,True,False,False,False,True,7.0,40.857142857142854,76.14285714285714,4.6,0.0,1.0,24,248,3379.9583333333335,13,3,16,unknown,98.48,False,720,retained
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,Basic,95,1140,annual,False,False,False,False,True,8.0,30.75,82.5,4.25,1.0,4.0,39,376,3269.6153846153848,31,3,27,,,,1086,retained
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,Basic,0,0,annual,True,False,False,False,True,4.0,64.0,110.0,4.0,0.0,1.0,71,733,3134.957746478873,53,4,35,pricing,0.0,False,677,retained
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,Pro,980,11760,annual,False,False,False,False,True,5.0,44.2,100.8,4.8,0.0,0.0,24,248,3063.2083333333335,10,4,17,support,8.47,False,511,retained
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,Pro,2009,24108,monthly,False,False,False,False,True,5.0,27.2,109.4,4.0,0.0,2.0,62,647,3154.8064516129034,33,4,33,,,,552,retained
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,Pro,2842,34104,annual,False,False,False,False,True,4.0,20.0,108.5,4.0,0.0,0.0,67,706,3091.283582089552,46,9,32,features,72.19,False,1094,retained
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,Pro,0,0,monthly,True,False,False,True,True,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,1.0,46,493,3180.4565217391305,31,5,26,,,,615,retained
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,Enterprise,6766,81192,monthly,False,False,False,False,False,1.0,36.0,135.0,3.0,0.0,0.0,77,734,2950.4675324675327,38,5,34,,,,1145,churned
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,Pro,1715,20580,monthly,False,False,False,False,True,2.0,12.0,78.0,4.5,0.0,1.0,67,666,3219.9253731343283,31,5,33,pricing,99.1,True,1145,retained
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,Basic,570,6840,monthly,False,False,False,False,True,3.0,42.666666666666664,111.33333333333333,3.5,0.0,0.0,66,672,3186.7727272727275,36,4,28,unknown,0.0,False,665,retained
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,Enterprise,6766,81192,annual,False,False,False,False,True,3.0,26.333333333333332,82.0,5.0,0.0,2.0,47,465,2723.340425531915,19,7,29,pricing,0.0,False,733,retained
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,Pro,686,8232,annual,False,True,False,True,True,2.0,18.5,141.0,4.5,1.0,0.0,59,597,2928.2033898305085,31,3,27,budget,0.0,False,1121,retained
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,Basic,627,7524,annual,False,False,False,False,True,5.0,22.4,67.4,4.333333333333333,0.0,2.0,70,693,2913.5142857142855,27,6,33,budget,6.26,False,797,retained
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,Pro,0,0,annual,True,False,False,False,True,4.0,42.25,83.0,3.6666666666666665,0.0,2.0,48,489,2746.5625,21,3,28,support,0.0,False,548,retained
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,Enterprise,4179,50148,annual,False,False,False,False,True,5.0,27.4,46.6,4.0,0.0,2.0,52,523,3422.269230769231,24,5,27,unknown,113.17,False,963,retained
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,Basic,893,10716,annual,False,False,False,False,True,2.0,42.0,38.0,3.0,0.0,0.0,73,696,3242.3698630136987,60,5,34,budget,0.0,True,785,churned
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,Enterprise,2587,31044,monthly,False,False,False,False,True,3.0,47.333333333333336,87.66666666666667,5.0,0.0,2.0,77,746,2650.961038961039,63,7,33,budget,0.0,False,764,retained
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,Pro,1078,12936,monthly,False,True,False,False,True,6.0,23.333333333333332,100.5,4.0,0.0,1.0,53,514,3204.7924528301887,34,5,32,support,0.0,False,1122,retained
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,Basic,494,5928,monthly,False,False,False,False,False,3.0,50.333333333333336,93.66666666666667,4.0,0.0,1.0,39,375,3274.025641025641,30,4,24,features,0.0,False,999,retained
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,Basic,798,9576,annual,False,False,False,False,True,2.0,34.5,61.5,3.5,0.0,0.0,41,418,2812.8048780487807,22,6,26,support,7.58,True,1215,churned
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,Pro,1764,21168,annual,False,False,False,True,True,3.0,48.333333333333336,43.0,3.5,0.0,1.0,81,818,3350.098765432099,27,10,37,,,,784,churned
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,Basic,0,0,annual,True,False,False,False,False,3.0,42.666666666666664,75.33333333333333,,0.0,0.0,38,399,2906.7368421052633,12,3,27,competitor,0.0,True,1023,retained
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,Basic,779,9348,annual,False,False,False,False,False,4.0,35.25,37.25,4.333333333333333,0.0,1.0,88,924,2971.465909090909,59,13,38,,,,662,retained
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,Pro,0,0,monthly,True,False,False,False,False,2.0,15.0,98.5,4.0,0.0,0.0,51,477,2904.0392156862745,25,5,28,budget,0.0,False,619,retained
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,Basic,171,2052,annual,False,False,False,False,True,3.0,37.0,69.66666666666667,4.0,0.0,0.0,39,439,3082.7179487179487,17,3,25,support,0.0,False,1159,churned
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,Pro,784,9408,annual,False,False,True,False,True,6.0,28.5,78.83333333333333,4.5,0.0,0.0,58,565,3233.189655172414,38,5,33,pricing,0.0,False,608,retained
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,Basic,779,9348,monthly,False,False,False,False,True,6.0,26.833333333333332,80.5,3.5,0.0,3.0,48,464,3126.0625,25,5,29,competitor,0.0,False,1095,retained
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,Basic,627,7524,annual,False,False,False,True,True,4.0,17.0,65.25,3.75,0.0,1.0,29,295,3532.8275862068967,22,3,18,budget,113.84,True,583,retained
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,Enterprise,11741,140892,monthly,False,False,False,True,True,5.0,30.2,102.6,5.0,0.0,2.0,70,729,3148.3142857142857,45,8,33,,,,682,retained
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,Enterprise,13930,167160,annual,False,False,False,False,True,5.0,39.4,62.6,4.0,0.0,3.0,50,511,3463.24,35,5,34,budget,0.0,False,896,retained
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,Enterprise,5771,69252,monthly,False,False,False,True,True,5.0,24.2,56.8,4.333333333333333,0.0,0.0,60,599,2802.383333333333,33,5,29,pricing,0.0,False,557,retained
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,Enterprise,8557,102684,annual,False,False,False,True,False,5.0,51.4,134.6,3.5,1.0,1.0,56,565,2843.089285714286,45,5,28,features,41.17,False,748,retained
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,Basic,361,4332,annual,False,False,False,False,False,2.0,45.0,82.0,4.0,0.0,0.0,53,528,2813.6603773584907,31,6,32,features,0.0,True,667,retained
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,Enterprise,7164,85968,monthly,False,False,False,False,True,4.0,29.5,135.5,4.0,0.0,0.0,42,396,2944.1666666666665,26,7,27,budget,0.0,False,1147,churned
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,Pro,1470,17640,annual,False,False,False,False,True,5.0,35.4,63.0,4.75,0.0,0.0,70,692,2804.285714285714,25,6,34,,,,661,churned
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,Pro,980,11760,annual,False,True,False,False,False,2.0,15.5,103.0,4.0,0.0,1.0,37,393,3168.5675675675675,13,2,27,competitor,0.0,False,534,retained
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,Enterprise,9950,119400,monthly,False,False,False,False,True,4.0,33.5,156.5,4.0,0.0,1.0,58,597,3391.396551724138,22,3,30,features,27.92,False,947,retained
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,Pro,343,4116,annual,False,False,False,False,True,1.0,72.0,105.0,4.0,0.0,0.0,54,545,3396.277777777778,43,1,27,features,0.0,False,939,retained
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,Enterprise,7363,88356,annual,False,True,False,False,True,2.0,39.0,167.0,5.0,0.0,1.0,69,689,2987.5072463768115,61,6,34,,,,514,retained
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,Pro,0,0,annual,True,False,False,False,True,3.0,17.666666666666668,120.66666666666667,4.0,0.0,1.0,37,366,3201.7567567567567,20,7,23,,,,1123,retained
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,Enterprise,5174,62088,annual,False,False,False,True,True,3.0,36.666666666666664,51.666666666666664,3.0,0.0,1.0,59,581,3068.7457627118642,30,10,32,support,0.0,True,876,retained
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,Pro,2156,25872,annual,False,False,False,False,True,3.0,17.333333333333332,84.66666666666667,4.5,1.0,1.0,72,684,3045.8888888888887,28,5,31,pricing,0.0,False,765,retained
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,Basic,570,6840,monthly,False,False,False,False,True,4.0,33.75,98.25,3.0,0.0,1.0,54,511,2794.0,33,6,31,pricing,23.52,False,1103,retained
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,Pro,1519,18228,annual,False,False,False,False,True,1.0,51.0,128.0,,0.0,1.0,45,451,3365.777777777778,28,4,25,,,,1181,retained
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,Basic,0,0,annual,True,False,False,False,True,8.0,41.25,59.75,3.3333333333333335,1.0,1.0,53,538,2994.3584905660377,31,6,29,features,66.37,True,1087,churned
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,Pro,2744,32928,annual,False,False,False,False,True,3.0,37.333333333333336,74.0,4.5,0.0,1.0,44,455,2827.931818181818,21,8,27,support,0.0,False,1002,retained
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,Enterprise,1791,21492,annual,False,False,False,False,True,4.0,28.5,61.0,5.0,0.0,0.0,33,335,2929.4545454545455,17,2,22,,,,801,retained
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,Enterprise,7562,90744,monthly,False,False,False,False,False,3.0,35.666666666666664,128.33333333333334,4.0,0.0,0.0,98,993,2877.408163265306,45,15,40,support,122.11,False,1036,retained
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,Basic,722,8664,monthly,False,True,False,False,True,3.0,26.666666666666668,107.33333333333333,4.0,0.0,2.0,47,461,3128.744680851064,32,5,28,support,8.92,False,532,retained
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,Enterprise,9154,109848,monthly,False,False,False,False,True,1.0,36.0,79.0,,0.0,0.0,38,373,3014.815789473684,16,1,25,features,0.0,True,1178,churned
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,Basic,722,8664,annual,False,False,False,True,True,3.0,42.333333333333336,118.0,3.0,1.0,1.0,71,696,2632.788732394366,26,7,37,features,0.0,False,905,retained
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,Enterprise,3184,38208,monthly,False,False,False,False,True,7.0,30.571428571428573,94.71428571428571,3.6666666666666665,0.0,3.0,39,402,2928.641025641026,17,3,25,budget,0.0,False,881,retained
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,Enterprise,0,0,annual,True,False,False,False,True,6.0,39.833333333333336,82.5,3.5,0.0,2.0,61,626,3036.5409836065573,29,10,34,,,,561,retained
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,Enterprise,8159,97908,monthly,False,False,False,False,True,0.0,,,,0.0,0.0,40,404,2881.5,16,0,23,,,,1189,retained
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,Basic,646,7752,monthly,False,False,False,False,True,5.0,33.2,50.4,3.75,1.0,0.0,44,438,3567.0227272727275,22,2,28,support,0.0,False,623,retained
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33,False,False,Basic,0,0,monthly,True,False,False,False,True,3.0,35.333333333333336,65.33333333333333,4.333333333333333,0.0,2.0,46,449,3005.7608695652175,28,7,31,competitor,16.89,False,864,retained
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,Pro,2352,28224,monthly,False,False,False,False,True,4.0,52.25,115.5,4.666666666666667,1.0,2.0,59,585,2745.8813559322034,24,5,25,features,0.0,False,823,retained
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32,False,False,Basic,1083,12996,annual,False,False,True,False,True,6.0,42.666666666666664,116.0,4.666666666666667,0.0,2.0,23,229,3200.1304347826085,15,3,17,pricing,0.0,True,771,retained
A-3a7284,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,Pro,1519,18228,annual,False,True,False,False,True,3.0,56.333333333333336,104.33333333333333,3.5,0.0,2.0,60,609,3192.7,30,9,33,unknown,0.0,False,531,retained
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,Enterprise,0,0,annual,True,False,False,False,True,4.0,44.75,53.5,4.5,0.0,3.0,52,506,2459.1923076923076,23,7,27,,,,879,retained
A-65a46c,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,Pro,1715,20580,annual,False,False,False,False,True,8.0,45.125,91.125,4.0,0.0,6.0,38,370,3032.0789473684213,21,7,24,,,,910,retained
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,ads,Pro,6,False,True,Enterprise,2587,31044,monthly,False,False,False,False,True,2.0,35.5,50.5,4.0,0.0,0.0,54,565,2951.740740740741,20,6,29,,,,805,churned
A-fabe19,Company_97,DevTools,UK,2024-11-11,ads,Enterprise,1,False,False,Enterprise,0,0,monthly,True,True,False,False,False,3.0,40.666666666666664,38.333333333333336,4.0,0.0,2.0,33,337,3423.212121212121,16,1,20,,,,537,retained
A-adc1f3,Company_98,Cybersecurity,US,2024-08-05,organic,Pro,2,False,False,Enterprise,995,11940,monthly,False,False,False,False,True,3.0,47.333333333333336,65.0,3.5,0.0,1.0,36,334,3337.027777777778,26,5,24,,,,635,retained
A-503d5a,Company_99,FinTech,US,2023-10-21,other,Enterprise,4,False,True,Enterprise,11144,133728,annual,False,False,False,False,False,9.0,36.55555555555556,81.77777777777777,4.0,0.0,1.0,59,605,3585.8474576271187,32,6,34,,,,924,churned
A-fd7ad3,Company_100,Cybersecurity,US,2024-11-01,event,Enterprise,1,False,False,Basic,551,6612,monthly,False,False,False,False,True,8.0,48.75,98.125,4.166666666666667,1.0,2.0,56,567,3070.660714285714,42,9,31,support,70.03,True,547,retained
A-186a44,Company_101,HealthTech,US,2023-08-07,ads,Enterprise,20,False,False,Pro,0,0,annual,True,False,False,False,True,7.0,38.285714285714285,110.42857142857143,3.5,0.0,1.0,61,614,3369.4918032786886,25,7,30,,,,999,retained
A-e888d1,Company_102,Cybersecurity,US,2023-03-28,other,Pro,14,False,False,Pro,833,9996,monthly,False,False,False,False,True,5.0,43.0,104.0,4.0,1.0,2.0,52,552,3040.1346153846152,36,5,31,support,6.38,False,1131,retained
A-69fad4,Company_103,FinTech,UK,2023-04-06,ads,Basic,6,False,True,Pro,0,0,monthly,True,False,False,False,True,4.0,43.0,116.75,3.6666666666666665,0.0,1.0,39,412,3196.051282051282,24,4,24,support,0.0,False,1122,churned
A-9289f6,Company_104,EdTech,US,2023-05-31,event,Enterprise,1,False,False,Pro,1225,14700,annual,False,True,False,False,False,6.0,37.5,70.0,4.333333333333333,0.0,0.0,68,642,2946.6911764705883,38,7,33,support,17.93,False,1067,retained
A-f19409,Company_105,DevTools,US,2023-03-16,other,Basic,23,False,True,Basic,665,7980,annual,False,False,False,False,False,3.0,6.333333333333333,103.33333333333333,4.0,0.0,1.0,62,659,3384.064516129032,31,12,33,features,0.0,False,1143,churned
A-22f2df,Company_106,DevTools,US,2024-12-14,ads,Basic,3,False,False,Basic,209,2508,annual,False,False,False,False,True,5.0,44.8,71.6,5.0,0.0,2.0,42,429,2836.3571428571427,17,5,25,,,,504,retained
A-039727,Company_107,EdTech,AU,2024-11-02,organic,Pro,25,False,False,Enterprise,4975,59700,annual,False,True,False,True,True,0.0,,,,0.0,0.0,74,768,3372.2297297297296,32,3,33,pricing,46.49,False,546,retained
A-2e3bad,Company_108,FinTech,CA,2023-08-13,other,Pro,61,False,False,Basic,1159,13908,monthly,False,False,False,True,True,5.0,31.4,107.0,3.5,0.0,0.0,45,435,2749.733333333333,26,6,25,features,0.0,False,993,retained
A-484819,Company_109,HealthTech,US,2023-02-21,organic,Pro,18,False,False,Enterprise,3582,42984,monthly,False,True,False,False,True,5.0,33.2,139.6,4.5,0.0,2.0,33,336,3517.4545454545455,20,3,22,support,0.0,False,1166,retained
A-425e76,Company_110,DevTools,UK,2023-05-17,other,Enterprise,8,False,True,Enterprise,1791,21492,annual,False,False,False,False,True,5.0,48.2,119.2,3.3333333333333335,1.0,0.0,48,438,2842.0625,24,5,29,budget,0.0,True,1081,churned
